CellLine	DrugName	GR50	Hill_GR	GRinf	GEC50	GR_AOC
HS578T	GSK2126458	0.016114	0.6506	-0.11496	0.022115	0.75049
HS578T	Methotrexate	100	4.9999	0.56303	0.090442	0.23108
HS578T	Paclitaxel	0.0024776	1.5747	0.02704	0.0023309	0.67477
HS578T	Etoposide	0.56363	2.0723	0.066073	0.52637	0.39552
HS578T	Nilotinib	100	3.317	0.47028	9.0992	0.05073
HS578T	PLX4720	15.4212	5	0.34981	12.1242	0.0070946
HS578T	TAE684	0.94922	1.2018	-0.40483	1.5549	0.31318
HS578T	Palbociclib	0.52095	2.5406	0.26045	0.26949	0.34493
MCF7	GSK2126458	0.019494	0.75787	-0.11018	0.01956	0.79855
MCF7	Methotrexate	0.18893	5	0.43291	0.12642	0.27948
MCF7	Paclitaxel	0.0031039	1.7173	0.016959	0.002721	0.67351
MCF7	Etoposide	1.5149	1.5083	0.056372	1.3994	0.25276
MCF7	Nilotinib	100	3.333	0.63041	9.4725	0.037086
MCF7	PLX4720	25.8741	5	-0.99442	30	-0.027755
MCF7	TAE684	0.084186	1.1945	-0.28141	0.12234	0.63827
MCF7	Palbociclib	0.31475	2.137	0.27298	0.18703	0.41373
MCF10A	GSK2126458	0.0083481	0.80381	-0.16977	0.011997	0.87191
MCF10A	Methotrexate	0.07029	5	0.28696	0.057806	0.42039
MCF10A	Paclitaxel	0.0031892	2.2592	-0.085247	0.0034209	0.70838
MCF10A	Etoposide	0.238	1.4195	-0.052848	0.25397	0.53163
MCF10A	Nilotinib	11.7505	3.9803	0.054282	11.3488	0.059689
MCF10A	PLX4720	60.7488	4.3727	0.36617	17.5214	0.0098972
MCF10A	TAE684	1.3034	0.86442	-0.40063	2.6154	0.26676
MCF10A	Palbociclib	0.95849	0.78466	0.1203	0.65086	0.3506
MDAMB231	GSK2126458	0.050903	0.71321	-0.11058	0.065507	0.61922
MDAMB231	Methotrexate	100	5	0.77633	4.2947	-0.013467
MDAMB231	Paclitaxel	0.0045908	1.8016	0.059605	0.0042526	0.58177
MDAMB231	Etoposide	0.50396	1.7058	0.0082716	0.49906	0.39265
MDAMB231	Nilotinib	17.556	3.3333	0.38783	8.8675	0.065448
MDAMB231	PLX4720	100	0	0.93785	30	-0.033248
MDAMB231	TAE684	1.3223	1.9357	-0.32325	1.7108	0.26194
MDAMB231	Palbociclib	0.26825	1.2474	0.19017	0.18115	0.4382
BT20	GSK2126458	0.015873	1.3923	-0.32928	0.022955	0.90264
BT20	Methotrexate	100	3.3333	0.80554	0.64306	0.082805
BT20	Paclitaxel	0.0049663	2.4925	-0.082444	0.0053593	0.65031
BT20	Etoposide	1.3499	1.4456	-0.016747	1.3827	0.29309
BT20	Nilotinib	43.6735	3.3249	0.41696	10.1619	0.035246
BT20	PLX4720	37.2634	4.999	-0.48855	23.1156	-0.025696
BT20	TAE684	2.2869	3.7906	-0.038213	2.3472	0.14502
BT20	Palbociclib	0.1839	0.92894	0.033489	0.17195	0.5185
SKBR3	GSK2126458	0.0029066	0.61101	-0.28034	0.0065563	0.97639
SKBR3	Methotrexate	10.9506	4.2668	0.62702	0.096549	0.18986
SKBR3	Paclitaxel	0.0028848	3.3973	-0.071053	0.0030626	0.7108
SKBR3	Etoposide	0.30025	1.99	-0.061172	0.34142	0.49557
SKBR3	Nilotinib	43.107	4.9558	0.36044	7.0846	0.05324
SKBR3	PLX4720	100	0	0.8908	30	-0.021262
SKBR3	TAE684	1.9366	4.2651	-0.15371	2.0736	0.2105
SKBR3	Palbociclib	1.165	0.35263	-0.23159	3.7877	0.38988
BT20	17-AAG	0.0083067	3.9483	-0.047862	0.0083573	0.55529
BT20	Erlotinib	50.7211	4.0244	0.59114	5.7364	0.042631
BT20	Lapatinib	5.4039	3.4038	-0.36252	6.3212	0.058415
BT20	Linsitinib	16.8384	2.7096	-0.99876	27.1783	0.028922
MCF10A	17-AAG	0.014235	3.083	0.0097215	0.014024	0.47058
MCF10A	Erlotinib	0.53582	3.1553	0.13144	0.47838	0.36256
MCF10A	Lapatinib	4.4229	1.9864	-0.28913	5.6027	0.10365
MCF10A	Linsitinib	6.4244	1.1249	0.35554	2.0272	0.16827
SKBR3	17-AAG	0.0064207	2.1464	-0.051845	0.0067351	0.61637
SKBR3	Erlotinib	3.9853	2.4483	-0.071471	4.6677	0.19856
SKBR3	Lapatinib	0.033551	0.84288	-0.02141	0.034801	0.65142
SKBR3	Linsitinib	12.1918	0.78412	-1	30	0.11716
HS578T	17-AAG	0.021425	4.9999	0.12267	0.020252	0.62936
HS578T	Erlotinib	63.6023	1.3777	0.42208	16.4988	0.043414
HS578T	Lapatinib	9.7304	5	-0.86877	11.9016	0.024708
HS578T	Linsitinib	100	4.9937	0.85238	11.204	-0.0050059
MCF7	17-AAG	0.020417	2.5133	0.0038307	0.020355	0.7013
MCF7	Erlotinib	100	0	1.05	30	-0.049735
MCF7	Lapatinib	7.789	3.595	0.022867	7.6883	0.03903
MCF7	Linsitinib	1.617	2.2518	0.37107	0.88577	0.19755
MDAMB231	17-AAG	1.6131	2.7743	0.090107	1.5016	0.16753
MDAMB231	Erlotinib	100	4.829	0.61983	16.616	-0.025132
MDAMB231	Lapatinib	13.5054	4.9999	0.13336	12.6929	-0.027021
MDAMB231	Linsitinib	19.7623	3.397	0.40567	12.0954	0.014092